platform,title,url,query,page,date_scraped,extraction_method,estimated_salary_boost,demand_level,roi_score,score_breakdown,skill_category,demand_signal,trend_count,trend_count_norm,course_text,content_similarity,roi_norm,salary_norm,query_len_norm,knn_personalization,svd_personalization,personalization_score,support_skill_alignment,margin_pressure,demand_integration_score,demand_level_clean,demand_level_bonus,base_hybrid_score,hybrid_final_score,confidence_level,impact_band,recommendation_rank,recommendation_reason
Udemy,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,data science,1,2026-02-26T08:55:59.718938,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 45.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python for data science and machine learning bootcamp data science python,0.44244013468909493,1.0,0.16666666666666666,0.0,0.9781038310673075,0.9701442628849428,0.9749200037943615,1.0,0.5980000000000001,0.9889288845871317,very_high,0.06,0.8504651442263602,0.9504651442263603,HIGH,IMMEDIATE,1,strong market demand; strong personalization fit; high ROI potential
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,machine learning,1,2026-02-26T08:54:21.889844,fallback_html_parse,35000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 45.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,complete a i machine learning data science bootcamp machine learning machine-learning,0.5854195207599605,1.0,0.7222222222222222,0.0,0.9632586693327445,0.9571577578123929,0.9608183047246038,1.0,0.5980000000000001,0.8844904250311731,very_high,0.06,0.8461311051320517,0.9461311051320518,HIGH,IMMEDIATE,2,strong market demand; strong personalization fit; high ROI potential
Udemy,Python for Data Science: The Complete Data Science Bootcamp,https://www.udemy.com/course/python-for-data-science-the-complete-data-science-bootcamp/,data science,2,2026-02-26T08:56:38.233883,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 45.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python for data science the complete data science bootcamp data science python,0.4219971341038539,1.0,0.16666666666666666,0.0,0.9780716522528523,0.9603411051702602,0.9709794334198154,1.0,0.5980000000000001,0.9841153290789076,very_high,0.06,0.842684507058535,0.942684507058535,HIGH,IMMEDIATE,3,strong market demand; strong personalization fit; high ROI potential
Udemy,Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,data science,1,2026-02-26T08:55:59.719326,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 50.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python for machine learning data science masterclass data science python,0.40167777604695054,1.0,0.16666666666666666,0.0,0.9779141353318346,0.974744504532639,0.9766462830121563,1.0,0.5980000000000001,0.9886523520577418,very_high,0.06,0.8406093379849863,0.9406093379849862,HIGH,IMMEDIATE,4,strong market demand; strong personalization fit; high ROI potential
Udemy,Python Data Science: Unsupervised Machine Learning,https://www.udemy.com/course/data-science-in-python-unsupervised-learning/,data science,2,2026-02-26T08:56:38.232384,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python data science unsupervised machine learning data science python,0.4027915794254883,0.97,0.16666666666666666,0.0,0.9767936403691309,0.9704803046107104,0.9742683060657626,1.0,0.5980000000000001,0.9827619224358997,very_high,0.06,0.8337316442253776,0.9337316442253776,HIGH,IMMEDIATE,5,strong market demand; strong personalization fit; high ROI potential
Udemy,Python Data Science: Regression & Forecasting,https://www.udemy.com/course/data-science-in-python-regression/,data science,2,2026-02-26T08:56:38.233693,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,0.9192930780559646,14.0,1.0,python data science regression forecasting data science python,0.344332937072949,0.97,0.16666666666666666,0.0,0.9756967633170059,0.9679625754341825,0.9726030881638765,1.0,0.5980000000000001,0.9908845313064804,very_high,0.06,0.8215435922664744,0.9215435922664745,HIGH,STRONG,6,strong market demand; strong personalization fit; high ROI potential
Udemy,Data Science and Machine Learning Fundamentals [2026],https://www.udemy.com/course/data-science-and-machine-learning-fundamentals-one/,machine learning,1,2026-02-26T08:54:21.889622,fallback_html_parse,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,data science and machine learning fundamentals 2026 machine learning machine-learning,0.5276323002977772,0.97,0.7222222222222222,0.0,0.9661931372814307,0.9565741271567096,0.9623455332315423,1.0,0.5980000000000001,0.8618942975919932,very_high,0.06,0.8196574625395274,0.9196574625395275,HIGH,STRONG,7,strong market demand; strong personalization fit; high ROI potential
Udemy,"Data Analytics, Data Science, & Machine Learning - All in 1",https://www.udemy.com/course/data-analytics-data-science-machine-learning-all-in-1/,machine learning,1,2026-02-26T08:54:21.890462,fallback_html_parse,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,data analytics data science machine learning - all in 1 machine learning machine-learning,0.5275703016818932,0.97,0.7222222222222222,0.0,0.9661962894607411,0.9559796381094412,0.9621096289202211,1.0,0.5980000000000001,0.8602542060855857,very_high,0.06,0.8190089547804835,0.9190089547804836,HIGH,STRONG,8,strong market demand; strong personalization fit; high ROI potential
Udemy,Deployment of Machine Learning Models,https://www.udemy.com/course/deployment-of-machine-learning-models/,machine learning,2,2026-02-26T08:55:12.119199,fallback_html_parse,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,deployment of machine learning models machine learning machine-learning,0.5220028256121538,0.97,0.7222222222222222,0.0,0.9664742426035224,0.951634457265206,0.9605383284681959,1.0,0.5980000000000001,0.8601455494892757,very_high,0.06,0.8171862308413338,0.9171862308413339,HIGH,STRONG,9,strong market demand; strong personalization fit; high ROI potential
Udemy,Mathematical Foundations of Machine Learning,https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,machine learning,1,2026-02-26T08:54:21.890308,fallback_html_parse,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning,0.6628982234498013,8.0,0.5384615384615384,mathematical foundations of machine learning machine learning machine-learning,0.5201839561453473,0.97,0.7222222222222222,0.0,0.9665628490560851,0.9479359170982813,0.9591120762729637,1.0,0.5980000000000001,0.8600738602994057,very_high,0.06,0.8163498592093696,0.9163498592093697,HIGH,STRONG,10,strong market demand; strong personalization fit; high ROI potential
