metric,value
training_rows,2640.0
train_rows,2112.0
test_rows,528.0
holdout_accuracy,0.9261363636363636
avg_prediction_confidence,0.8870048920168702
BOOST_MARKETING_precision,0.9692737430167597
BOOST_MARKETING_recall,0.9327956989247311
BOOST_MARKETING_f1,0.9506849315068493
INVEST_CONTENT_precision,0.65
INVEST_CONTENT_recall,0.6842105263157895
INVEST_CONTENT_f1,0.6666666666666666
OPTIMIZE_SALARY_precision,0.8461538461538461
OPTIMIZE_SALARY_recall,0.9565217391304348
OPTIMIZE_SALARY_f1,0.8979591836734694
STABILIZE_SUPPORT_precision,0.8913043478260869
STABILIZE_SUPPORT_recall,0.9111111111111111
STABILIZE_SUPPORT_f1,0.9010989010989011
macro avg_precision,0.8391829842491733
macro avg_recall,0.8711597688705166
macro avg_f1,0.8541024207364716
weighted avg_precision,0.929686897538944
weighted avg_recall,0.9261363636363636
weighted avg_f1,0.927051433020122
