id,amount,category,created_at,currency,description,expense_date,status,title
494,117,CONTENT,2026-01-01 09:03:00,USD,Video Production,2026-01-01 09:03:00,PAID,Video Production
101,105,MARKETING,2026-01-01 10:21:00,USD,Email Marketing,2026-01-01 10:21:00,PAID,Email Marketing
360,97,INFRASTRUCTURE,2026-01-01 14:14:00,USD,Cloud Hosting,2026-01-01 14:14:00,PAID,Cloud Hosting
211,144,MARKETING,2026-01-01 16:55:00,USD,Email Marketing,2026-01-01 16:55:00,PAID,Email Marketing
12,79,TOOLS,2026-01-01 17:25:00,USD,SaaS Subscription,2026-01-01 17:25:00,PAID,SaaS Subscription
7,803,SALARY,2026-01-02 09:54:00,USD,Content Creator Salary,2026-01-02 09:54:00,PENDING,Content Creator Salary
334,34,TOOLS,2026-01-02 13:09:00,USD,LMS Plugin,2026-01-02 13:09:00,PAID,LMS Plugin
14,149,CONTENT,2026-01-02 13:47:00,USD,Course Materials,2026-01-02 13:47:00,PENDING,Course Materials
123,138,MARKETING,2026-01-02 15:08:00,USD,Email Marketing,2026-01-02 15:08:00,PAID,Email Marketing
303,97,CONTENT,2026-01-02 15:44:00,USD,Course Materials,2026-01-02 15:44:00,PAID,Course Materials
468,85,CONTENT,2026-01-02 15:45:00,USD,Stock Assets,2026-01-02 15:45:00,PAID,Stock Assets
10,138,INFRASTRUCTURE,2026-01-02 16:44:00,USD,CDN Costs,2026-01-02 16:44:00,PAID,CDN Costs
164,391,SALARY,2026-01-03 10:50:00,USD,Developer Salary,2026-01-03 10:50:00,PAID,Developer Salary
16,88,SUPPORT,2026-01-03 11:15:00,USD,CRM License,2026-01-03 11:15:00,PAID,CRM License
359,52,TOOLS,2026-01-03 12:42:00,USD,LMS Plugin,2026-01-03 12:42:00,PAID,LMS Plugin
270,102,MARKETING,2026-01-03 13:14:00,USD,Influencer Campaign,2026-01-03 13:14:00,PAID,Influencer Campaign
8,187,MARKETING,2026-01-03 14:37:00,USD,Influencer Campaign,2026-01-03 14:37:00,PAID,Influencer Campaign
315,111,CONTENT,2026-01-04 09:02:00,USD,Video Production,2026-01-04 09:02:00,PAID,Video Production
402,48,TOOLS,2026-01-04 10:10:00,USD,Analytics Tool,2026-01-04 10:10:00,PAID,Analytics Tool
430,96,CONTENT,2026-01-04 12:01:00,USD,Course Materials,2026-01-04 12:01:00,PAID,Course Materials
421,97,INFRASTRUCTURE,2026-01-05 08:21:00,USD,AWS Services,2026-01-05 08:21:00,PAID,AWS Services
436,509,SALARY,2026-01-05 15:57:00,USD,Developer Salary,2026-01-05 15:57:00,PAID,Developer Salary
400,104,MARKETING,2026-01-06 08:41:00,USD,Google Ads,2026-01-06 08:41:00,PAID,Google Ads
148,106,MARKETING,2026-01-06 16:07:00,USD,Email Marketing,2026-01-06 16:07:00,PAID,Email Marketing
263,81,INFRASTRUCTURE,2026-01-07 15:53:00,USD,Database Hosting,2026-01-07 15:53:00,PAID,Database Hosting
319,60,SUPPORT,2026-01-07 15:59:00,USD,Help Desk Software,2026-01-07 15:59:00,PAID,Help Desk Software
207,53,TOOLS,2026-01-07 17:30:00,USD,Analytics Tool,2026-01-07 17:30:00,PAID,Analytics Tool
178,62,SUPPORT,2026-01-07 17:31:00,USD,CRM License,2026-01-07 17:31:00,PAID,CRM License
304,128,MARKETING,2026-01-08 15:05:00,USD,Influencer Campaign,2026-01-08 15:05:00,PAID,Influencer Campaign
