target,candidate_model,validation_rows,validation_mae,validation_rmse,validation_wape,validation_mape,validation_smape,validation_r2,selected_model,ensemble_member,reliability
income_total,ExtraTrees,31,509.3206,594.7384,44.0061,39.9964,43.0835,-0.4837,NO,NO,
income_total,RandomForest,31,402.5231,500.3175,34.7786,31.1511,35.9166,-0.05,YES,YES,HIGH
income_total,GradientBoosting,31,494.3917,627.441,42.7162,40.3453,41.0722,-0.6513,NO,YES,
expense_SALARY,ExtraTrees,31,317.6933,415.3145,108.8833,60.1493,143.7475,-0.0742,NO,YES,
expense_SALARY,RandomForest,31,314.5081,414.4206,107.7916,59.7123,146.1667,-0.0696,YES,YES,MEDIUM
expense_SALARY,GradientBoosting,31,320.8184,432.9287,109.9544,63.6651,139.0834,-0.1673,NO,NO,
expense_MARKETING,ExtraTrees,31,82.2806,94.9182,161.0289,247.0559,159.3603,-0.2157,YES,YES,LOW
expense_MARKETING,RandomForest,31,95.2372,104.7752,186.3859,318.245,153.8888,-0.4813,NO,YES,
expense_MARKETING,GradientBoosting,31,125.6973,146.0021,245.9984,418.5904,156.937,-1.8764,NO,NO,
expense_INFRASTRUCTURE,ExtraTrees,31,67.4776,86.4198,108.0477,62.2802,155.4315,-0.1924,NO,NO,
expense_INFRASTRUCTURE,RandomForest,31,62.3392,80.3136,99.8201,57.1995,150.4907,-0.0299,YES,YES,MEDIUM
expense_INFRASTRUCTURE,GradientBoosting,31,62.3767,78.3979,99.8801,60.6782,146.554,0.0187,NO,YES,
expense_TOOLS,ExtraTrees,31,21.2224,26.8553,88.4269,43.1942,149.9996,0.1963,NO,YES,
expense_TOOLS,RandomForest,31,21.7877,27.4317,90.782,44.547,153.0216,0.1614,NO,NO,
expense_TOOLS,GradientBoosting,31,21.0898,30.1535,87.8741,42.3815,135.1421,-0.0132,YES,YES,MEDIUM
expense_CONTENT,ExtraTrees,31,69.8112,84.4478,122.9628,67.0077,158.5972,-0.2665,YES,YES,LOW
expense_CONTENT,RandomForest,31,70.7472,86.8066,124.6115,68.5322,157.4019,-0.3383,NO,YES,
expense_CONTENT,GradientBoosting,31,75.8085,104.5304,133.5264,74.5474,149.9766,-0.9405,NO,NO,
expense_SUPPORT,ExtraTrees,31,43.4997,46.0905,364.4568,158.4453,178.3374,-1.731,NO,YES,
expense_SUPPORT,RandomForest,31,41.358,42.773,346.5128,150.9145,177.1673,-1.352,YES,YES,LOW
expense_SUPPORT,GradientBoosting,31,64.5628,70.4604,540.9313,247.1347,173.4409,-5.3824,NO,NO,
